num,freq
0,415471
1,142081
2,53363
3,23038
4,11369
5,6252
6,3904
7,2613
8,1813
9,1355
10,1041
11,771
12,592
13,446
14,387
15,281
16,275
17,212
18,175
19,137
20,108
21,104
22,102
23,73
24,68
25,61
26,52
27,46
28,42
29,37
30,36
31,35
32,33
33,29
34,29
35,29
36,25
37,23
38,21
39,20
40,18
41,14
42,14
43,14
44,13
45,12
46,12
47,11
48,11
49,11
