num,freq
0,521268
1,96338
2,25213
3,8937
4,4280
5,2608
6,1789
7,1245
8,998
9,757
10,553
11,463
12,323
13,285
14,196
15,189
16,154
17,135
18,106
19,71
20,68
21,60
22,57
23,52
24,50
25,45
26,39
27,38
28,30
29,29
30,28
31,28
32,27
33,25
34,25
35,24
36,20
37,20
38,19
39,16
40,14
41,13
42,13
43,13
44,12
45,12
46,11
